iter	Passed	Remaining
0	139	139416
1	142	71173
2	145	48254
3	148	36953
4	151	30107
5	153	25437
6	155	22083
7	157	19589
8	160	17634
9	162	16081
10	164	14778
11	166	13684
12	168	12761
13	169	11962
14	171	11263
15	172	10634
16	174	10070
17	175	9567
18	176	9118
19	177	8706
20	178	8325
21	179	7981
22	180	7668
23	181	7378
24	182	7109
25	183	6857
26	183	6626
27	184	6416
28	185	6215
29	186	6029
30	187	5858
31	188	5701
32	189	5553
33	190	5415
34	191	5287
35	192	5162
36	193	5048
37	194	4935
38	196	4833
39	197	4729
40	198	4631
41	198	4536
42	199	4450
43	201	4370
44	202	4289
45	202	4209
46	204	4139
47	205	4071
48	206	4007
49	207	3944
50	208	3882
51	209	3822
52	211	3771
53	212	3716
54	213	3663
55	214	3616
56	215	3571
57	216	3520
58	217	3470
59	218	3422
60	219	3378
61	220	3336
62	221	3298
63	222	3258
64	223	3220
65	225	3184
66	225	3145
67	226	3104
68	227	3068
69	228	3032
70	229	2999
71	230	2967
72	231	2935
73	232	2904
74	233	2874
75	233	2842
76	234	2812
77	235	2787
78	236	2760
79	237	2735
80	238	2711
81	239	2684
82	240	2659
83	241	2633
84	242	2605
85	242	2581
86	243	2554
87	244	2532
88	245	2509
89	245	2486
90	246	2464
91	247	2442
92	248	2421
93	249	2400
94	249	2380
95	250	2361
96	251	2343
97	252	2327
98	254	2312
99	254	2294
100	255	2276
101	256	2255
102	256	2237
103	257	2220
104	258	2202
105	259	2186
106	259	2169
107	260	2153
108	261	2137
109	262	2122
110	263	2106
111	263	2091
112	264	2077
113	265	2065
114	266	2053
115	267	2041
116	269	2032
117	270	2020
118	270	2005
119	271	1992
120	272	1980
121	273	1967
122	273	1952
123	274	1940
124	275	1927
125	276	1915
126	276	1903
127	277	1889
128	278	1878
129	279	1867
130	280	1857
131	281	1849
132	282	1839
133	283	1829
134	283	1819
135	284	1808
136	285	1798
137	286	1787
138	286	1777
139	287	1767
140	288	1757
141	289	1747
142	289	1737
143	290	1728
144	291	1719
145	292	1709
146	293	1700
147	294	1693
148	295	1686
149	296	1679
150	297	1672
151	298	1664
152	299	1656
153	300	1648
154	300	1640
155	301	1633
156	302	1624
157	303	1616
158	304	1608
159	304	1600
160	305	1592
161	306	1585
162	307	1578
163	308	1571
164	309	1565
165	310	1560
166	311	1554
167	312	1547
168	313	1540
169	313	1533
170	314	1526
171	315	1519
172	316	1512
173	317	1505
174	317	1498
175	318	1492
176	319	1486
177	320	1479
178	321	1472
179	322	1467
180	322	1459
181	323	1453
182	324	1449
183	325	1443
184	326	1438
185	327	1432
186	327	1425
187	328	1419
188	329	1413
189	330	1407
190	330	1401
191	331	1396
192	332	1390
193	333	1384
194	334	1379
195	334	1373
196	335	1368
197	336	1363
198	337	1358
199	338	1353
200	339	1349
201	340	1345
202	341	1340
203	342	1335
204	343	1330
205	343	1325
206	344	1320
207	345	1315
208	346	1310
209	347	1305
210	347	1300
211	348	1296
212	349	1291
213	350	1286
214	351	1281
215	351	1277
216	352	1273
217	353	1269
218	354	1265
219	355	1261
220	356	1256
221	357	1252
222	358	1247
223	358	1243
224	359	1238
225	360	1234
226	361	1229
227	361	1225
228	362	1222
229	363	1218
230	364	1214
231	365	1210
232	366	1206
233	368	1205
234	369	1203
235	370	1200
236	372	1197
237	373	1195
238	374	1192
239	375	1188
240	376	1184
241	376	1180
242	377	1176
243	378	1172
244	379	1168
245	380	1164
246	380	1161
247	381	1157
248	382	1154
249	383	1151
250	384	1148
251	385	1144
252	386	1140
253	387	1137
254	387	1133
255	388	1129
256	389	1126
257	390	1122
258	391	1118
259	391	1115
260	392	1111
261	393	1108
262	394	1104
263	394	1101
