iter	Passed	Remaining
0	1	1511
1	2	1146
2	2	993
3	3	920
4	4	914
5	5	883
6	6	858
7	6	840
8	7	825
9	8	824
10	9	813
11	9	806
12	10	801
13	11	810
14	12	814
15	13	812
16	14	820
17	15	829
18	16	830
19	16	832
20	17	825
21	18	818
22	19	812
23	19	807
24	20	801
25	21	795
26	21	790
27	22	788
28	23	785
29	24	781
30	24	779
31	25	778
32	26	776
33	27	773
34	27	770
35	28	766
36	29	763
37	30	760
38	30	757
39	31	756
40	32	755
41	33	753
42	33	751
43	34	749
44	35	746
45	35	743
46	36	741
47	37	740
48	38	739
49	38	737
50	39	738
51	40	736
52	41	735
53	41	734
54	42	733
55	43	733
56	44	733
57	45	735
58	46	738
59	47	740
60	48	740
61	49	741
62	49	741
63	50	742
64	51	741
65	52	740
66	53	741
67	54	742
68	55	750
69	56	754
70	57	756
71	58	756
72	59	755
73	60	754
74	61	753
75	61	752
76	62	752
77	63	750
78	64	750
79	65	748
80	65	747
81	66	748
82	67	744
83	68	744
84	69	745
85	70	747
86	71	750
87	72	752
88	73	753
89	74	754
90	75	757
91	76	756
92	77	755
93	78	754
94	79	753
95	79	752
96	80	752
97	81	751
98	82	750
99	83	750
100	84	751
101	85	750
102	86	750
103	87	750
104	88	750
105	88	749
106	89	748
107	90	746
108	91	743
109	91	741
110	92	739
111	93	738
112	93	736
113	94	734
114	95	733
115	96	732
116	96	729
117	97	728
118	98	727
119	99	727
120	100	727
121	100	726
122	101	725
123	102	725
124	103	724
125	104	723
126	104	720
127	105	719
128	106	717
129	107	716
130	107	714
131	108	713
132	109	712
133	109	710
134	110	708
135	111	707
136	112	706
137	113	706
138	114	706
139	115	706
140	115	705
141	116	702
142	117	701
143	117	700
144	118	698
145	119	697
146	119	695
147	120	694
148	121	692
149	122	691
150	122	690
151	123	689
152	124	688
153	125	686
154	125	685
155	126	684
156	127	684
157	128	684
158	129	684
159	130	683
160	130	681
161	131	679
162	132	678
163	132	676
164	133	675
165	134	674
166	134	672
167	135	671
168	136	671
169	137	669
170	137	668
171	138	667
172	139	666
173	140	664
174	140	663
175	141	662
176	142	662
177	143	662
178	144	661
179	145	660
180	145	659
181	146	658
182	147	657
183	147	655
184	148	654
185	149	653
186	150	652
187	150	651
188	151	651
189	152	650
190	153	648
191	153	647
192	154	646
193	155	645
194	156	644
195	157	644
196	157	643
197	158	643
198	159	642
199	160	641
200	160	639
201	161	638
202	162	637
203	163	636
204	163	635
205	164	635
206	165	634
207	166	632
208	166	631
209	167	630
210	168	629
211	169	628
212	169	627
213	170	626
214	171	626
215	172	625
216	173	625
217	174	624
218	174	623
219	175	622
220	176	621
221	176	620
222	177	619
223	178	618
224	179	617
225	179	616
226	180	615
227	181	614
228	182	613
229	182	612
230	183	611
231	184	610
232	185	609
233	186	608
234	186	608
235	187	607
236	188	606
237	189	606
238	190	605
239	191	605
240	191	604
241	192	604
242	193	603
243	194	602
244	195	601
245	195	600
246	196	599
247	197	597
248	197	596
249	198	595
250	199	595
251	200	594
252	201	594
253	202	594
254	203	593
255	203	592
256	204	591
257	205	590
258	206	589
259	206	588
260	207	588
261	208	587
262	209	586
263	209	585
264	210	584
265	211	583
266	212	582
267	212	581
268	213	579
269	214	579
270	215	579
271	216	578
272	217	578
273	217	577
274	218	576
275	219	575
276	220	574
277	220	573
278	221	572
279	222	571
280	223	570
281	223	569
282	224	569
283	225	568
284	226	567
285	226	566
286	227	565
287	228	564
288	229	563
289	230	563
290	231	562
291	231	562
292	232	561
293	233	560
294	234	559
295	234	558
296	235	557
297	236	557
298	237	556
299	238	555
300	238	554
301	239	553
302	240	552
303	240	551
304	241	550
305	242	549
306	243	548
307	243	548
308	244	547
309	245	547
310	246	546
311	247	545
312	248	544
313	248	543
314	249	542
315	250	541
316	251	540
317	251	540
318	252	538
319	253	538
320	253	537
321	254	536
322	255	535
323	256	534
324	256	533
325	257	532
326	258	532
327	259	532
328	260	531
329	261	530
330	262	529
331	262	528
332	263	527
333	264	527
334	264	526
335	265	525
336	266	524
337	267	523
338	267	522
339	268	521
340	269	520
341	270	519
342	270	518
343	271	517
344	272	517
345	273	516
346	274	515
347	275	515
348	276	515
349	278	516
350	279	517
351	281	517
352	282	517
353	282	516
354	283	515
355	284	514
356	286	515
357	287	514
358	288	514
359	289	514
360	290	514
361	291	514
362	292	513
363	293	513
364	294	512
365	295	511
366	295	510
367	296	509
368	297	508
369	298	507
370	298	506
371	299	505
372	300	504
373	301	503
374	301	503
375	303	503
376	304	502
377	304	501
378	305	500
379	306	499
380	307	498
381	307	497
382	308	496
383	309	495
384	309	495
385	310	494
386	311	493
387	311	492
388	312	491
389	313	490
390	314	489
391	314	488
392	315	487
393	316	486
394	317	486
395	318	485
396	319	485
397	320	484
398	320	483
399	321	482
400	322	481
401	322	480
402	323	479
403	324	478
404	324	477
405	325	476
406	326	475
407	327	474
408	327	473
409	328	473
410	329	472
411	330	471
412	331	471
413	332	470
414	333	469
415	334	469
416	334	468
417	335	467
418	336	466
419	336	465
420	337	464
421	338	463
422	339	462
423	339	461
424	340	460
425	341	459
426	342	458
427	342	458
